Magnitude,Type,Ingredient 1,Ingredient 2,Ingredient 3,Effects,Effect 1,Effect 2,Effect 3,Effect 4,Effect 5,MyPotionID,Can Make
159,Mixed,Blue Dartwing,Blue Mountain Flower,Glow Dust,3,Restore Health,Damage Magicka Regen,Resist Shock,,,3028,TRUE
156,Mixed,Blue Dartwing,Blue Mountain Flower,Nightshade,2,Restore Health,Damage Magicka Regen,,,,3037,TRUE
156,Mixed,Blue Dartwing,Blue Mountain Flower,Spider Egg,2,Restore Health,Damage Magicka Regen,,,,3045,TRUE
156,Mixed,Blue Dartwing,Blue Mountain Flower,Spriggan Sap,2,Restore Health,Damage Magicka Regen,,,,3046,TRUE
113,Mixed,Blisterwort,Blue Butterfly Wing,Blue Mountain Flower,4,Damage Stamina,Restore Health,Fortify Conjuration,Damage Magicka Regen,,2130,TRUE
113,Mixed,Blue Butterfly Wing,Blue Mountain Flower,Rock Warbler Egg,4,Fortify Conjuration,Damage Magicka Regen,Restore Health,Damage Stamina,,2680,TRUE
112,Mixed,Frost Mirriam,Histcarp,Purple Mountain Flower,4,Damage Stamina Regen,Restore Stamina,Fortify Sneak,Resist Frost,,10371,TRUE
110,Mixed,Blue Butterfly Wing,Blue Mountain Flower,Butterfly Wing,3,Fortify Conjuration,Damage Magicka Regen,Restore Health,,,2666,TRUE
110,Mixed,Blue Butterfly Wing,Blue Mountain Flower,Imp Stool,3,Fortify Conjuration,Damage Magicka Regen,Restore Health,,,2677,TRUE
110,Mixed,Blue Butterfly Wing,Blue Mountain Flower,Swamp Fungal Pod,3,Fortify Conjuration,Damage Magicka Regen,Restore Health,,,2684,TRUE
110,Mixed,Glow Dust,Nightshade,River Betty,3,Damage Magicka Regen,Fortify Destruction,Damage Health,,,11628,TRUE
109,Mixed,Blisterwort,Blue Mountain Flower,Spriggan Sap,3,Restore Health,Damage Magicka Regen,Fortify Smithing,,,2210,TRUE
109,Mixed,Blue Butterfly Wing,Bone Meal,Spriggan Sap,4,Damage Stamina,Fortify Conjuration,Damage Magicka Regen,Fortify Enchanting,,2703,TRUE
109,Mixed,Butterfly Wing,Glow Dust,Nightshade,4,Damage Magicka,Damage Magicka Regen,Lingering Damage Stamina,Fortify Destruction,,4738,TRUE
109,Mixed,Creep Cluster,Ectoplasm,Histcarp,3,Restore Magicka,Fortify Magicka,Damage Stamina Regen,,,6302,TRUE
109,Mixed,Creep Cluster,Histcarp,Red Mountain Flower,3,Damage Stamina Regen,Restore Magicka,Fortify Magicka,,,6550,TRUE
109,Mixed,Creep Cluster,River Betty,Skeever Tail,3,Fortify Carry Weight,Damage Stamina Regen,Damage Health,,,6725,TRUE
109,Mixed,Nightshade,River Betty,Spriggan Sap,3,Damage Health,Damage Magicka Regen,Fortify Alteration,,,14461,TRUE
108,Mixed,Blisterwort,Blue Butterfly Wing,Spriggan Sap,4,Damage Stamina,Damage Magicka Regen,Fortify Enchanting,Fortify Smithing,,2154,TRUE
108,Mixed,Blisterwort,Blue Mountain Flower,Spider Egg,3,Restore Health,Damage Stamina,Damage Magicka Regen,,,2209,TRUE
108,Mixed,Blue Butterfly Wing,Blue Mountain Flower,Bone Meal,3,Fortify Conjuration,Damage Magicka Regen,Damage Stamina,,,2665,TRUE
108,Mixed,Blue Butterfly Wing,Blue Mountain Flower,Canis Root,3,Fortify Conjuration,Damage Magicka Regen,Damage Stamina,,,2667,TRUE
108,Mixed,Blue Butterfly Wing,Blue Mountain Flower,Nirnroot,3,Fortify Conjuration,Damage Magicka Regen,Damage Stamina,,,2679,TRUE
108,Mixed,Blue Butterfly Wing,Blue Mountain Flower,Spider Egg,3,Fortify Conjuration,Damage Magicka Regen,Damage Stamina,,,2682,TRUE
108,Mixed,Blue Butterfly Wing,Bone Meal,Glow Dust,3,Damage Stamina,Fortify Conjuration,Damage Magicka Regen,,,2693,TRUE
108,Mixed,Blue Butterfly Wing,Bone Meal,Nightshade,3,Damage Stamina,Fortify Conjuration,Damage Magicka Regen,,,2700,TRUE
108,Mixed,Blue Butterfly Wing,Bone Meal,Spider Egg,3,Damage Stamina,Fortify Conjuration,Damage Magicka Regen,,,2702,TRUE
108,Mixed,Blue Butterfly Wing,Glow Dust,Hagraven Feathers,3,Damage Magicka Regen,Damage Magicka,Fortify Conjuration,,,2860,TRUE
108,Mixed,Blue Butterfly Wing,Hagraven Feathers,Spider Egg,3,Fortify Conjuration,Damage Stamina,Damage Magicka Regen,,,2908,TRUE
108,Mixed,Blue Butterfly Wing,Lavender,Spider Egg,3,Fortify Conjuration,Damage Stamina,Damage Magicka Regen,,,2969,TRUE
108,Mixed,Blue Dartwing,Glow Dust,Nightshade,3,Resist Shock,Damage Magicka Regen,Fortify Destruction,,,3203,TRUE
